Chromosome	Start	End	Targetsite	Mismatches
chr3	31458651	31458674	VEGFA_site2	6
chr11	374660	374683	VEGFA_site2	5
chr11	13948353	13948376	VEGFA_site2	3
chr4	8841910	8841933	VEGFA_site2	5
chr9	139440840	139440863	VEGFA_site2	5
chr19	14142968	14142991	VEGFA_site2	4
chr7	95319670	95319693	VEGFA_site2	4
chr8	18041539	18041562	VEGFA_site2	4
chr17	16954845	16954868	VEGFA_site2	4
chr20	10913954	10913977	VEGFA_site2	5
chr1	875320	875343	VEGFA_site2	3
chr7	104933938	104933961	VEGFA_site2	5
chr9	126138174	126138197	VEGFA_site2	4
chr10	133956638	133956661	VEGFA_site2	4
chr12	26025088	26025111	VEGFA_site2	5
chr5	14457486	14457509	VEGFA_site2	5
chr11	12308917	12308940	VEGFA_site2	4
chr3	140398783	140398806	VEGFA_site2	4
chr2	129244195	129244218	VEGFA_site2	4
chr2	170573333	170573356	VEGFA_site2	5
chr2	11699947	11699970	VEGFA_site2	5
chr4	1496240	1496263	VEGFA_site2	5
chr2	24857576	24857599	VEGFA_site2	5
chr4	7329529	7329552	VEGFA_site2	4
chr10	72538200	72538223	VEGFA_site2	5
chr22	45134887	45134910	VEGFA_site2	4
chr19	45952037	45952060	VEGFA_site2	5
chr5	170878052	170878075	VEGFA_site2	5
chr5	139028239	139028262	VEGFA_site2	4
chr7	50765511	50765534	VEGFA_site2	5
chr11	83433593	83433616	VEGFA_site2	4
chrX	118865476	118865499	VEGFA_site2	3
chr5	156321124	156321147	VEGFA_site2	4
chr22	47511238	47511261	VEGFA_site2	4
chr2	105990820	105990843	VEGFA_site2	6
chr11	2686242	2686265	VEGFA_site2	5
chr16	85338199	85338222	VEGFA_site2	6
chrX	152837111	152837134	VEGFA_site2	3
chr22	40102383	40102406	VEGFA_site2	4
chr17	65632973	65632996	VEGFA_site2	4
chr4	143767366	143767389	VEGFA_site2	4
chr10	102821500	102821523	VEGFA_site2	6
chr19	42806794	42806817	VEGFA_site2	4
chr9	140263438	140263461	VEGFA_site2	4
chr17	55740522	55740545	VEGFA_site2	4
chr16	57974231	57974254	VEGFA_site2	5
chr5	132860358	132860381	VEGFA_site2	5
chr11	45796049	45796072	VEGFA_site2	5
chr17	62167047	62167070	VEGFA_site2	4
chr11	67351516	67351539	VEGFA_site2	5
chr1	237195674	237195697	VEGFA_site2	5
chr9	131706575	131706598	VEGFA_site2	5
chr22	43684478	43684501	VEGFA_site2	4
chr15	78857718	78857741	VEGFA_site2	5
chr19	36759127	36759150	VEGFA_site2	5
chr2	221535825	221535848	VEGFA_site2	6
chr3	49850170	49850193	VEGFA_site2	4
chr2	101437450	101437473	VEGFA_site2	6
chr14	90403304	90403327	VEGFA_site2	3
chr17	46103840	46103863	VEGFA_site2	5
chr1	1294255	1294278	VEGFA_site2	5
chr11	61321432	61321455	VEGFA_site2	3
chr9	37465347	37465370	VEGFA_site2	4
chr18	55101343	55101366	VEGFA_site2	4
chr20	35991126	35991149	VEGFA_site2	6
chr2	150391396	150391419	VEGFA_site2	6
chr7	44253549	44253572	VEGFA_site2	4
chr8	39839068	39839091	VEGFA_site2	3
chr11	32184478	32184501	VEGFA_site2	4
chr17	58404851	58404874	VEGFA_site2	5
chr3	38141258	38141281	VEGFA_site2	5
chr6	41543432	41543455	VEGFA_site2	5
chr6	43337319	43337342	VEGFA_site2	4
chr7	101150781	101150804	VEGFA_site2	4
chr8	122367946	122367969	VEGFA_site2	6
chr11	133777440	133777463	VEGFA_site2	5
chr12	3200959	3200982	VEGFA_site2	5
chr16	67289430	67289453	VEGFA_site2	6
chr1	23762244	23762267	VEGFA_site2	4
chr1	52217902	52217925	VEGFA_site2	5
chr2	43608521	43608544	VEGFA_site2	4
chr17	79881136	79881159	VEGFA_site2	4
chr6	36853818	36853841	VEGFA_site2	4
chr9	2666721	2666744	VEGFA_site2	5
chr9	100732568	100732591	VEGFA_site2	5
chr19	51915512	51915535	VEGFA_site2	5
chr7	130791558	130791581	VEGFA_site2	4
chr9	130663069	130663092	VEGFA_site2	4
chr12	133287131	133287154	VEGFA_site2	5
chr7	1478602	1478625	VEGFA_site2	5
chr8	37251177	37251200	VEGFA_site2	4
chr19	1028243	1028266	VEGFA_site2	5
chr19	18633476	18633499	VEGFA_site2	5
chr20	62575810	62575833	VEGFA_site2	6
chr21	46703215	46703238	VEGFA_site2	5
chr3	13187295	13187318	VEGFA_site2	5
chr6	31462820	31462843	VEGFA_site2	3
chr2	223731480	223731503	VEGFA_site2	5
chr11	65479762	65479785	VEGFA_site2	4
chr12	86681281	86681304	VEGFA_site2	4
chr12	132529349	132529372	VEGFA_site2	3
chr16	69166704	69166727	VEGFA_site2	6
chr12	57604315	57604338	VEGFA_site2	4
chr17	72656670	72656693	VEGFA_site2	4
chr8	137500395	137500418	VEGFA_site2	4
chr1	178738720	178738743	VEGFA_site2	4
chr3	55857478	55857501	VEGFA_site2	3
chr6	26470606	26470629	VEGFA_site2	3
chr6	110521017	110521040	VEGFA_site2	3
chr9	37990358	37990381	VEGFA_site2	5
chr17	7147463	7147486	VEGFA_site2	6
chr19	18131306	18131329	VEGFA_site2	5
chr19	45324564	45324587	VEGFA_site2	5
chr2	85515486	85515509	VEGFA_site2	5
chr5	122565809	122565832	VEGFA_site2	5
chr9	33202607	33202630	VEGFA_site2	4
chr9	100931285	100931308	VEGFA_site2	5
chr12	123893655	123893678	VEGFA_site2	5
chr19	1494313	1494336	VEGFA_site2	6
chr22	23260187	23260210	VEGFA_site2	3
chr3	65075641	65075664	VEGFA_site2	4
chr13	114795496	114795519	VEGFA_site2	5
chr14	104601191	104601214	VEGFA_site2	5
chr14	65569152	65569175	VEGFA_site3	2
chr5	89440962	89440985	VEGFA_site3	3
chr6	43737453	43737476	VEGFA_site3	0
chr5	115434658	115434681	VEGFA_site3	2
chr22	37662817	37662840	VEGFA_site3	2
chr11	68851125	68851148	VEGFA_site3	1
chr10	98760581	98760604	VEGFA_site3	2
chr3	193993877	193993900	VEGFA_site3	3
chr14	62078766	62078789	VEGFA_site3	3
chr19	40561860	40561883	VEGFA_site3	3
chr14	74353479	74353502	VEGFA_site3	3
chr20	20178277	20178300	VEGFA_site3	2
chr9	23824547	23824570	VEGFA_site3	2
chr3	71632802	71632825	VEGFA_site3	3
chr14	106029014	106029037	VEGFA_site3	1
chr19	47732485	47732508	VEGFA_site3	4
chr9	18733628	18733651	VEGFA_site3	3
chr2	73317043	73317066	VEGFA_site3	2
chr22	49739983	49740006	VEGFA_site3	2
chr8	22932496	22932519	VEGFA_site3	2
chr5	29367372	29367395	VEGFA_site3	3
chr4	58326590	58326613	VEGFA_site3	3
chr13	114882982	114883005	VEGFA_site3	4
chr8	48997788	48997811	VEGFA_site3	3
chr12	6937038	6937061	VEGFA_site3	3
chr16	80016313	80016336	VEGFA_site3	1
chr19	1716774	1716797	VEGFA_site3	3
chr10	5749650	5749673	VEGFA_site3	4
chr6	157078320	157078343	VEGFA_site3	3
chr14	58118426	58118449	VEGFA_site3	2
chr5	130857595	130857618	VEGFA_site3	2
chr2	177463419	177463442	VEGFA_site3	2
chr18	74103157	74103180	VEGFA_site3	3
chr11	79178505	79178528	VEGFA_site3	3
chr4	62067612	62067635	VEGFA_site3	3
chr16	84032639	84032662	VEGFA_site3	4
chr10	130228336	130228359	VEGFA_site3	3
chr3	5104933	5104956	VEGFA_site3	2
chr2	230506234	230506257	VEGFA_site3	3
chr20	50724387	50724410	VEGFA_site3	3
chr11	75147762	75147785	VEGFA_site3	4
chr1	48305031	48305054	VEGFA_site3	3
chr7	51294261	51294284	VEGFA_site3	4
chr8	143890809	143890832	VEGFA_site3	3
chr17	33323251	33323274	VEGFA_site3	4
chr19	17594216	17594239	VEGFA_site3	3
chr16	73585908	73585931	VEGFA_site3	3
chr16	74898113	74898136	VEGFA_site3	2
chr17	78954423	78954446	VEGFA_site3	2
chr2	18696207	18696230	VEGFA_site3	4
chr8	67579420	67579443	VEGFA_site3	4
chr16	12264595	12264618	VEGFA_site3	2
chr19	6109015	6109038	VEGFA_site3	2
chr1	181557186	181557209	VEGFA_site3	2
chr18	14871043	14871066	VEGFA_site3	5
chr6	144458273	144458296	VEGFA_site3	4
chr9	139223441	139223464	VEGFA_site3	3
chr22	43939279	43939302	VEGFA_site3	3
chr1	32738746	32738769	VEGFA_site3	3
chr1	47690887	47690910	VEGFA_site3	3
chr9	110103687	110103710	Adli_sgRNA1	0
chr1	201992423	201992446	Adli_sgRNA1	2
chr10	123094929	123094952	Adli_sgRNA1	3
chr8	21121517	21121540	Adli_sgRNA1	3
chr9	129621070	129621093	Adli_sgRNA1	3
chr19	10362655	10362678	Adli_sgRNA1	5
chr8	48879609	48879632	Adli_sgRNA1	4
chr22	47970507	47970530	Adli_sgRNA1	3
chr13	31633471	31633494	Adli_sgRNA1	3
chr22	43689582	43689605	Adli_sgRNA1	3
chr5	87240596	87240619	Adli_sgRNA2	0
chr4	90522166	90522189	Adli_sgRNA2	2
chr10	87125358	87125381	Adli_sgRNA2	2
chr9	110184619	110184642	Adli_sgRNA3	0
chr15	79749913	79749936	Adli_sgRNA3	3
chr7	66968035	66968058	Adli_sgRNA3	3
chr1	47005698	47005721	Adli_sgRNA3	3
chrX	114764142	114764165	Adli_sgRNA3	4
chr10	131593103	131593126	Adli_sgRNA3	3
chr20	60010545	60010568	Adli_sgRNA4	3
chr19	33382074	33382097	Adli_sgRNA4	2
chr10	126694857	126694880	Adli_sgRNA4	2
chr10	77103102	77103125	Adli_sgRNA4	3
chr20	31349755	31349778	Adli_sgRNA4	0
chr15	41044235	41044258	Adli_sgRNA4	2
chr19	38616179	38616202	Adli_sgRNA4	3
chr13	39262911	39262934	Adli_sgRNA4	3
chr6	160517874	160517897	Adli_sgRNA4	2
chr10	13692619	13692642	Adli_sgRNA4	3
chr13	27629403	27629426	Adli_sgRNA4	2
chr7	54561420	54561443	Adli_sgRNA4	3
chr20	45342993	45343016	Adli_sgRNA4	2
chr17	75429273	75429296	Adli_sgRNA4	4
chr20	1151847	1151870	Adli_sgRNA4	2
chr16	50300329	50300352	Adli_sgRNA4	4
chr19	41220518	41220541	Adli_sgRNA4	3
chr20	60895664	60895687	Adli_sgRNA4	3
chr1	171018453	171018476	Adli_sgRNA4	3
chr17	176295	176318	Adli_sgRNA4	3
chr3	51725445	51725468	Adli_sgRNA4	3
chr7	110143133	110143156	Adli_sgRNA4	3
chr18	37194551	37194574	Adli_sgRNA4	2
chr20	37471336	37471359	Adli_sgRNA4	4
chr4	56815181	56815204	Adli_sgRNA4	2
chr19	46887167	46887190	Adli_sgRNA4	4
chr3	10418949	10418972	Adli_sgRNA4	3
chr7	134872025	134872048	Adli_sgRNA4	4
chr9	133039158	133039181	Adli_sgRNA4	3
chr3	53375988	53376011	Adli_sgRNA4	4
chr16	88716116	88716139	Adli_sgRNA4	4
chr7	1397381	1397404	Adli_sgRNA4	4
chr3	49055357	49055380	Adli_sgRNA4	1
chr1	201067360	201067383	Adli_sgRNA4	3
chr22	30130847	30130870	Adli_sgRNA4	4
chr19	1295069	1295092	Adli_sgRNA4	3
chr8	119227128	119227151	Adli_sgRNA4	4
chr14	88773013	88773036	Adli_sgRNA4	4
chr2	45247397	45247420	Adli_sgRNA4	4
chr14	24740253	24740276	Adli_sgRNA4	4
chr13	88900985	88901008	Adli_sgRNA4	3
chr20	60080536	60080559	Adli_sgRNA4	4
chr5	1832931	1832954	Adli_sgRNA4	4
chr2	152827908	152827931	Adli_sgRNA4	3
chr7	139244389	139244412	Adli_sgRNA4	3
chr17	29815556	29815579	Adli_sgRNA4	2
chr6	36761673	36761696	Adli_sgRNA4	3
chr10	126752481	126752504	Adli_sgRNA4	6
chr17	72251115	72251138	Adli_sgRNA4	3
chr2	25348460	25348483	Adli_sgRNA4	2
chr9	139522883	139522906	Adli_sgRNA4	3
chr5	177676319	177676342	Adli_sgRNA4	2
chr3	184289218	184289241	Adli_sgRNA4	3
chr9	136602363	136602386	Adli_sgRNA4	3
chr3	52035825	52035848	Adli_sgRNA4	3
chr20	61810732	61810755	Adli_sgRNA4	3
chr16	28266961	28266984	Adli_sgRNA4	3
chr12	53453539	53453562	Adli_sgRNA4	4
chr14	21993448	21993471	Adli_sgRNA4	4
chr3	52321866	52321889	Adli_sgRNA4	4
chr3	23651512	23651535	Adli_sgRNA4	3
chr15	34081528	34081551	Adli_sgRNA4	5
chr20	24376039	24376062	Adli_sgRNA4	4
chr8	144781294	144781317	Adli_sgRNA4	2
chr5	3606812	3606835	Adli_sgRNA4	4
chr1	204463904	204463927	Adli_sgRNA4	3
chr17	16982368	16982391	Adli_sgRNA4	5
chr6	51500455	51500478	Adli_sgRNA4	4
chr10	73435241	73435264	Adli_sgRNA4	3
chr14	95761242	95761265	Adli_sgRNA4	3
chr9	140205559	140205582	Adli_sgRNA4	3
chr5	96338741	96338764	Adli_sgRNA4	4
chr13	41969951	41969974	Adli_sgRNA4	5
chr17	64544859	64544882	Adli_sgRNA4	3
chr2	241640847	241640870	Adli_sgRNA4	3
chr16	1029960	1029983	Adli_sgRNA4	4
chr9	138465744	138465767	Adli_sgRNA4	5
chr4	183980130	183980153	Adli_sgRNA4	3
chr5	54469264	54469287	Adli_sgRNA4	4
chr6	33611477	33611500	Adli_sgRNA4	3
chr16	89469234	89469257	Adli_sgRNA4	2
chr15	101714906	101714929	Adli_sgRNA4	3
chr12	113935443	113935466	Adli_sgRNA4	4
chr12	48045639	48045662	Adli_sgRNA4	4
chr9	5020573	5020596	Adli_sgRNA4	3
chr9	74103948	74103971	Adli_sgRNA4	4
chr22	43768257	43768280	Adli_sgRNA4	4
chr12	131356920	131356943	Adli_sgRNA4	4
chr8	20854493	20854516	Adli_sgRNA4	3
chr12	55427935	55427958	Adli_sgRNA4	4
chr22	35746276	35746299	Adli_sgRNA4	4
chr1	160016378	160016401	Adli_sgRNA4	2
chr3	130508518	130508541	Adli_sgRNA4	3
chr7	157443375	157443398	Adli_sgRNA4	3
chr9	111305496	111305519	Adli_sgRNA4	4
chr20	60174553	60174576	Adli_sgRNA4	4
chr15	71686921	71686944	Adli_sgRNA4	4
chr2	96016372	96016395	Adli_sgRNA4	3
chr3	142741798	142741821	Adli_sgRNA4	3
chr4	82962276	82962299	Adli_sgRNA4	4
chr14	63796581	63796604	Adli_sgRNA4	3
chr19	15302529	15302552	Adli_sgRNA4	4
chr21	46875418	46875441	Adli_sgRNA4	3
chr1	1956134	1956157	Adli_sgRNA4	3
chr2	98637975	98637998	Adli_sgRNA4	4
chr3	66705557	66705580	Adli_sgRNA4	3
chr6	158452371	158452394	Adli_sgRNA4	4
chr7	95064063	95064086	Adli_sgRNA4	3
chr16	67742842	67742865	Adli_sgRNA4	5
chr22	49132885	49132908	Adli_sgRNA4	4
chrX	123096960	123096983	Adli_sgRNA4	5
chr1	12259801	12259824	Adli_sgRNA4	4
chr7	139624	139647	Adli_sgRNA4	4
chr13	48891647	48891670	Adli_sgRNA4	4
chr17	38478441	38478464	Adli_sgRNA4	4
chr22	51011670	51011693	Adli_sgRNA4	5
chr1	44397925	44397948	Adli_sgRNA4	3
chr6	10416014	10416037	Adli_sgRNA4	4
chr6	13588028	13588051	Adli_sgRNA4	5
chr6	40975962	40975985	Adli_sgRNA4	6
chr7	29233949	29233972	Adli_sgRNA4	3
chr22	27650930	27650953	Adli_sgRNA4	5
chr5	139284040	139284063	Adli_sgRNA4	3
chr7	150498852	150498875	Adli_sgRNA4	3
chr17	1007813	1007836	Adli_sgRNA4	4
chrX	152805646	152805669	Adli_sgRNA4	3
chr1	150530471	150530494	Adli_sgRNA4	3
chr6	41374167	41374190	Adli_sgRNA4	5
chr15	60790544	60790567	Adli_sgRNA4	4
chr19	12721957	12721980	Adli_sgRNA4	4
chr20	22805407	22805430	Adli_sgRNA4	5
chr3	195550465	195550488	Adli_sgRNA4	2
chr22	41620055	41620078	Adli_sgRNA4	4
chr12	54977717	54977740	Adli_sgRNA4	4
chr2	73160983	73161004	tru_EMX1	0
chr6	9118792	9118813	tru_EMX1	1
chr3	95690179	95690200	tru_EMX1	2
chr1	151027591	151027612	tru_EMX1	2
chr11	22647331	22647354	FANCF	0
chr18	8707521	8707544	FANCF	2
chr10	43410013	43410036	FANCF	3
chr17	78923960	78923983	FANCF	4
chrX	86355162	86355185	FANCF	4
chr6	143382079	143382102	FANCF	4
chr10	73463118	73463141	FANCF	3
chr10	37953182	37953205	FANCF	3
chr16	49671018	49671041	FANCF	2
chr1	185056766	185056789	RNF2	0
chr6	43737456	43737476	tru_VEGFA_site3	0
chr14	65569152	65569172	tru_VEGFA_site3	1
chr22	37662817	37662837	tru_VEGFA_site3	1
chr19	40561860	40561880	tru_VEGFA_site3	1
chr5	89440962	89440982	tru_VEGFA_site3	1
chr19	47732485	47732505	tru_VEGFA_site3	1
chr10	98760581	98760601	tru_VEGFA_site3	1
chr5	115434661	115434681	tru_VEGFA_site3	1
chr10	105307458	105307478	tru_VEGFA_site3	1
chr8	48997791	48997811	tru_VEGFA_site3	1
chr14	44199328	44199348	tru_VEGFA_site3	1
chr16	80016316	80016336	tru_VEGFA_site3	1
chr3	71632802	71632822	tru_VEGFA_site3	1
chr12	57612402	57612422	tru_VEGFA_site3	2
chr5	177239504	177239524	tru_VEGFA_site3	3
chr6	44149310	44149330	tru_VEGFA_site3	4
chr17	39796321	39796342	tru_VEGFA_site1	2
chr6	43737290	43737311	tru_VEGFA_site1	0
chr15	65637530	65637551	tru_VEGFA_site1	2
chr22	37215260	37215281	tru_VEGFA_site1	1
chr5	32945259	32945280	tru_VEGFA_site1	1
chr12	1988061	1988082	tru_VEGFA_site1	2
chr5	139263008	139263029	tru_VEGFA_site1	2
chr6	50485666	50485687	tru_VEGFA_site1	2
chr4	8453787	8453808	tru_VEGFA_site1	2
chr17	47317532	47317553	tru_VEGFA_site1	3
